Date,Time,Julian_Day,Julian_Century,Geom_Mean_Long_Sun(deg),Geom_Mean_Anom_Sun(deg),Eccent_Earth_Orbit,Sun_Eq_of_Ctr,Sun_True_Long(deg),Sun_True_Anom(deg),Sun_Rad_Vector(AUs),Sun_App_Long(deg),Mean_Obliq_Ecliptic(deg),Obliq_Corr(deg),Sun_Rt_Ascen(deg),Sun_Declin(deg),var_y,Eq_of_Time(min),HA_Sunrise(deg),Solar_Noon(LST),Sunrise_Time(LST),Sunset_Time(LST),Sunlight_Duration(min),Dark_Duration(min),True_Solar_Time(min),Hour_Angle(deg),Solar_Zenith_Angle(deg),Solar_Elevation_Angle(deg),Approx_Atomospheric_Refraction,Solar_Elevation_corr(deg),Solar_Azimuth_Angle(deg_cw_from_N)
2021-04-13,12:00:00,2459318.2916666665,0.21282112708190312,22.190884769560398,8018.887559634402,0.016699681899679027,1.884245521421043,24.07513029098144,8020.771805155823,1.002852176103735,24.0648591518039,23.436523547135803,23.43725426720507,22.280911653783797,9.333947364900746,0.0430268375911157,-0.38809461708606857,99.56557349344091,12:27:35,5:49:19,19:05:50,796.5245879475273,643.4754120524727,692.411905382914,-6.897023654271493,32.932270489493014,57.067729510506986,0.010448332845235987,57.07817784335222,167.4105464402652
2021-04-14,12:00:00,2459319.2916666665,0.21284850558977444,23.17653213325866,8019.873159914337,0.016699680747292105,1.8782368168636672,25.054768950122327,8021.751396731201,1.003133948206233,25.044499073895444,23.436523191101088,23.437256178422746,23.204975249794018,9.69329551973738,0.04302684480804978,-0.14270218031180282,99.90074824355509,12:27:20,5:47:43,19:06:56,799.2059859484407,640.7940140515593,692.6572978196882,-6.835675545077947,32.567864514463274,57.432135485536726,0.010303436069254919,57.442438921605984,167.41124995073994
2021-04-15,12:00:00,2459320.2916666665,0.21287588409764577,24.162179496955105,8020.858760194271,0.016699679594904992,1.8716789258637594,26.033858422818863,8022.730439120134,1.003414720159155,26.023589813454667,23.43652283506637,23.43725808901432,24.130494251690845,10.049965644941443,0.043026852022620285,0.0968811287032167,100.23452056738127,12:27:06,5:46:09,19:08:02,801.8761645390501,638.1238354609499,692.8968811287032,-6.775779717824207,32.2063467204718,57.7936532795282,0.010160840512953302,57.80381412004115,167.40990866212053
2021-04-16,12:00:00,2459321.2916666665,0.2129032626055171,25.147826860654277,8021.844360474203,0.016699678442517688,1.8645743411075821,27.012401201761858,8023.708934815311,1.0036944105666437,27.002133863171295,23.436522479031655,23.43725999897786,25.057531693410688,10.403864350860657,0.04302685923481992,0.3304067631211452,100.56682070003508,12:26:52,5:44:35,19:09:08,804.5345656002806,635.4654343997194,693.1304067631211,-6.717398309219732,31.84781955980042,58.15218044019958,0.010020534048149374,58.16220097424773,167.40637888041147
2021-04-17,12:00:00,2459322.2916666665,0.2129306411133884,26.13347422435345,8022.829960754137,0.016699677290130197,1.8569257077498171,27.990399932103266,8024.686886461886,1.003972938482608,27.980133868196198,23.43652212299694,23.437261908311427,25.98614896235633,10.754898488701352,0.04302686644464137,0.5576323765114655,100.89757676867806,12:26:38,5:43:02,19:10:13,807.1806141494245,632.8193858505755,693.3576323765114,-6.660591905872138,31.49238507585411,58.50761492414589,0.009882505115187956,58.51749742926108,167.4005158609342
2021-04-18,12:00:00,2459323.2916666665,0.21295801962125974,27.11912158805353,8023.81556103407,0.016699676137742515,1.8487358220176036,28.967857410071133,8025.664296856087,1.0042502234322852,28.957592624756334,23.436521766962226,23.437263817013083,26.91640573411907,11.10297515729235,0.04302687365207734,0.7783220822054184,101.22671473273664,12:26:25,5:41:30,19:11:19,809.8137178618931,630.1862821381069,693.5783220822054,-6.605419479448642,31.140144902955104,58.8598550970449,0.009746742734602992,58.869601839779506,167.3921740289013
2021-04-19,12:00:00,2459324.2916666665,0.21298539812913106,28.104768951753613,8024.801161314002,0.016699674985354643,1.840007629783894,29.944776581537507,8026.6411689437855,1.0045261854335248,29.934513078722656,23.43652141092751,23.4372657250809,27.84835990653752,11.448001711325734,0.043026880857120496,0.992246719405979,101.55415832776784,12:26:12,5:39:59,19:12:24,812.4332666221427,627.5667333778573,693.792246719406,-6.551938320148508,30.79120026492217,59.20879973507783,0.009613236516949945,59.21841297159478,167.38120722300027
2021-04-20,12:00:00,2459325.2916666665,0.21301277663700235,29.090416315453695,8025.786761593933,0.01669967383296658,1.8307442251108812,30.921160540564575,8027.617505819044,1.0048007450177894,30.910898324156253,23.436521054892797,23.437267632512935,28.782067533171293,11.789885771131106,0.04302688805976355,1.1991841256540356,101.87982901326993,12:26:00,5:38:28,19:13:31,815.0386321061594,624.9613678938406,693.999184125654,-6.500203968586504,30.44565197227394,59.554348027726064,0.009481976670856433,59.56383000439692,167.36746896319767
2021-04-21,12:00:00,2459326.2916666665,0.21304015514487368,30.076063679154686,8026.7723618738655,0.01669967268057833,1.8209488487649457,31.89701252791963,8028.59331072263,1.0050738232508727,31.886751601823327,23.436520698858082,23.437269539307266,29.717582756245235,12.128535234025314,0.043026895259999226,1.398919415160252,102.20364592474021,12:25:48,5:36:59,19:14:36,817.6291673979217,622.3708326020783,694.1989194151602,-6.450270146209959,30.10360041789971,59.89639958210029,0.009352954009336598,59.905752536109624,167.35081274393565
2021-04-22,12:00:00,2459327.2916666665,0.213067533652745,31.061711042856587,8027.757962153797,0.016699671528189887,1.8106248867037877,32.87233592956037,8029.5685870405005,1.005345341753328,32.86207629768047,23.43652034282337,23.437271445461953,30.654957739141594,12.463858287281521,0.0430269024578202,1.5912452624387108,102.52552583030052,12:25:36,5:35:29,19:15:42,820.2042066424042,619.7957933575958,694.3912452624388,-6.402188684390296,29.765145571027436,60.23485442897257,0.0092261599544052,60.24408058892697,167.33109235385234
2021-04-23,12:00:00,2459328.2916666665,0.21309491216061632,32.04735840655849,8028.743562433729,0.016699670375801254,1.7997758685369936,33.84713427509548,8030.5433383022655,1.00561522272061,33.83687594133525,23.436519986788657,23.437273350975065,31.594242598531675,12.795763422760267,0.043026909653219175,1.7759621905994791,102.84538309222754,12:25:25,5:34:02,19:16:47,822.7630647378203,617.2369352621797,694.5759621905995,-6.356009452350122,29.43038696930819,60.56961303069181,0.009101586540019422,60.57871461723183,167.30816222309272
2021-04-24,12:00:00,2459329.2916666665,0.21312229066848765,33.0330057702613,8029.729162713659,0.016699669223412435,1.7884054659607616,34.82141123622206,8031.51756817962,1.005883388942924,34.811154204483685,23.436519630753942,23.437275255844668,32.535485336247234,13.124159453241258,0.04302691684618884,1.9528788635841519,103.16312963373747,12:25:14,5:32:34,19:17:53,825.3050370698998,614.6949629301002,694.7528788635841,-6.311780284103975,29.099423708828198,60.9005762911718,0.008979226413369238,60.90955551758517,167.28187779920347
2021-04-25,12:00:00,2459330.2916666665,0.21314966917635897,34.01865313396229,8030.714762993591,0.01669966807102342,1.7765174911679855,35.795170625130275,8032.491280484759,1.0061497638247843,35.784914899314806,23.43651927471923,23.437277160068835,33.47873177099202,13.448955530488016,0.04302692403672195,2.1218123815538084,103.47867491138413,12:25:04,5:31:09,19:18:58,827.8293992910731,612.1706007089269,694.9218123815538,-6.269546904611559,28.7723544318535,61.2276455681465,0.008859072834531622,61.23650464098103,167.25209595251124
2021-04-26,12:00:00,2459331.2916666665,0.2131770476842303,35.00430049766601,8031.700363273522,0.01669966691863422,1.7641158952346743,36.76841639290068,8033.464479168757,1.0064142714042756,36.758161976908056,23.436518918684516,23.437279063645633,34.42402547004076,13.770061165086245,0.04302693122481117,2.282588578576206,103.7919258934533,12:24:55,5:29:44,19:20:05,830.3354071476264,609.6645928523736,695.0825885785762,-6.229352855355955,28.449277312092118,61.55072268790788,0.008741119674492695,61.55946380758237,167.21867541176084
2021-04-27,12:00:00,2459332.2916666665,0.21320442619210161,35.98994786136973,8032.685963553452,0.016699665766244827,1.7512047664833932,37.74115262785312,8034.437168319935,1.0066768363720229,37.73089952558216,23.436518562649805,23.437280966573134,35.371407681019015,14.087386248070947,0.043026938410449224,2.4350423216876362,104.10278704472478,12:24:45,5:28:20,19:21:09,832.8222963577982,607.1777036422018,695.2350423216876,-6.191239419578096,28.130290037271607,61.86970996272839,0.008625361411543584,61.87833532413994,167.1814772306625
2021-04-28,12:00:00,2459333.2916666665,0.21323180469997294,36.97559522507436,8033.671563833383,0.016699664613855247,1.7377883288247769,38.713383553899135,8035.409352162207,1.0069373840898614,38.70313176924755,23.43651820661509,23.4372828688494,36.32091726396061,14.400841074384797,0.04302694559362882,2.579017810354719,104.41116031801394,12:24:37,5:26:58,19:22:15,835.2892825441115,604.7107174558885,695.3790178103548,-6.155245547411312,27.815489788791414,62.18451021120859,0.00851179312603854,62.19302200433463,167.14036528582562
2021-04-29,12:00:00,2459334.2916666665,0.21325918320784426,37.96124258877899,8034.657164113314,0.016699663461465473,1.723870940078216,39.6851135288572,8036.381035053392,1.0071958406092096,39.67486306572156,23.43651785058038,23.437284770472516,37.272590623761076,14.710336368175327,0.04302695277434268,2.714368875294443,104.7169451528811,12:24:29,5:25:36,19:23:21,837.7355612230488,602.2644387769512,695.5143688752944,-6.121407781176401,27.504973218233843,62.49502678176616,0.00840041049350984,62.503427192259664,167.09520680636842
2021-04-30,12:00:00,2459335.2916666665,0.21328656171571558,38.946889952484526,8035.642764393243,0.016699662309075512,1.7094570902722432,40.65634704275677,8037.352221483515,1.007452132689142,40.64609790503252,23.43651749454567,23.437286671440546,38.226461643222315,15.015783309956344,0.043026959952583536,2.840959275570105,105.0200384819247,12:24:21,5:24:16,19:24:25,840.1603078553976,599.8396921446024,695.6409592755701,-6.089760181107465,27.198836420489314,62.801163579510686,0.00829120977612082,62.809454789286804,167.04587293528243
2021-05-01,12:00:00,2459336.2916666665,0.2133139402235869,39.932537316190064,8036.628364673173,0.01669966115668536,1.6945513999255275,41.627088716115594,8038.322916073098,1.007706187814169,41.616840907697046,23.436517138510958,23.43728857175156,39.18256161685511,15.317093565640755,0.043026967128344085,2.9586629928293027,105.32033474506443,12:24:14,5:22:57,19:25:30,842.5626779605154,597.4373220394846,695.7586629928294,-6.0603342517926535,26.897174903262364,63.10282509673763,0.008184187812439743,63.11100928455007,166.99223932236976
2021-05-02,12:00:00,2459337.2916666665,0.21334131873145823,40.91818467989651,8037.613964953103,0.01669966000429502,1.679158618309755,42.59734329820627,8039.293123571413,1.0079579342117087,42.58709682298661,23.436516782476247,23.437290471403635,40.14091918564846,15.614179317457202,0.043026974301617074,3.067364521511254,105.61772591223028,12:24:07,5:21:38,19:26:35,844.9418072978423,595.0581927021577,695.8673645215113,-6.033158869622184,26.60008355271186,63.399916447288135,0.008079342005509521,63.40799578929364,166.93418674830798
2021-05-03,12:00:00,2459338.2916666665,0.21336869723932955,41.90383204360296,8038.599565233031,0.016699658851904487,1.6632836216947104,43.56711566529767,8040.262848854726,1.0082073008692627,43.55687052716893,23.436516426441536,23.43729237039484,41.1015602729966,15.906953296748009,0.04302698147239517,3.1669591538176913,105.9121015148632,12:24:01,5:20:22,19:27:39,847.2968121189056,592.7031878810944,695.9669591538177,-6.008260211545576,26.30765659499062,63.69234340500938,0.007976670309189957,63.70032007531857,166.8716017790681
2021-05-04,12:00:00,2459339.2916666665,0.21339607574720085,42.88947940730941,8039.58516551296,0.016699657699513766,1.646931411576308,44.53641081888572,8041.232096924537,1.0084542175512934,44.52616702173881,23.436516070406824,23.437294268723253,42.06450802201363,16.195328818649596,0.04302698864067117,3.257353258213294,106.20334868663564,12:23:56,5:19:07,19:28:44,849.6267894930851,590.3732105069149,696.0573532582132,-5.985661685446701,26.019987553442963,63.98001244655704,0.007876171212744079,63.987888617769784,166.80437744957464
2021-05-05,12:00:00,2459340.2916666665,0.21342345425507217,43.87512677101586,8040.57076579289,0.016699656547122854,1.6301071128889286,45.505233883904786,8042.200872905779,1.0086986148157966,45.494991431629444,23.436515714372113,23.437296166386943,43.0297827344536,16.479219818643116,0.04302699580643774,3.3384645501949706,106.49135221378569,12:23:51,5:17:53,19:29:48,851.9308177102855,588.0691822897145,696.1384645501951,-5.965383862451233,25.737169201232838,64.26283079876717,0.007777843723642214,64.27060864249081,166.73241397511754
2021-05-06,12:00:00,2459341.2916666665,0.2134508327629435,44.860774134723215,8041.556366072817,0.016699655394731755,1.6128159722023678,46.473590106925585,8043.169182045019,1.0089404240305746,46.46334900341042,23.436515358337402,23.43729806338399,43.99740181147801,16.758540890961875,0.04302700296968766,3.4102223540583534,106.7759945954503,12:23:47,5:16:40,19:30:53,854.2079567636024,585.7920432363976,696.2102223540583,-5.947444411485435,25.45929350918173,64.54070649081827,0.007681687348557159,64.54838817816682,166.65561948859204
2021-05-07,12:00:00,2459342.2916666665,0.21347821127081482,45.84642149843239,8042.5419663527455,0.016699654242340465,1.595063355903992,47.44148485433638,8044.13702970865,1.009179577389213,47.43124510346885,23.43651500230269,23.43729995971247,44.96737969651351,17.033207328832344,0.043027010130413636,3.472567854378109,107.05715611436405,12:23:43,5:15:29,19:31:56,856.4572489149124,583.5427510850876,696.2725678543782,-5.931858036405458,25.18645158861093,64.81354841138906,0.007587702072525923,64.82113611346159,166.57391080122147
2021-05-08,12:00:00,2459343.2916666665,0.21350558977868614,46.83206886214066,8043.527566632674,0.01669965308994898,1.5768547483672906,48.40892361050795,8045.104421381042,1.0094160079267511,48.39868521617434,23.43651464626798,23.437301855370457,45.93972782045418,17.3031351665206,0.043027017288608416,3.525454335913437,107.33471491827216,12:23:40,5:14:19,19:33:00,858.6777193461772,581.3222806538228,696.3254543359135,-5.918636416021627,24.91873362900206,65.08126637099794,0.007495888336257459,65.08876225933419,166.48721418390528
2021-05-09,12:00:00,2459344.2916666665,0.21353296828655746,47.817716225850745,8044.513166912601,0.016699651937557312,1.5581957501073107,49.375911975958054,8046.071362662708,1.0096496495350575,49.36567494204351,23.436514290233273,23.437303750356026,46.91445454948643,17.568241223152608,0.043027024444264726,3.5688474106553048,107.60854711238434,12:23:37,5:13:10,19:34:03,860.8683768990747,579.1316231009253,696.3688474106552,-5.907788147336191,24.656228830307462,65.34377116969253,0.007406247011568692,65.3511774167041,166.39546616584187
2021-05-10,12:00:00,2459345.2916666665,0.21356034679442878,48.80336358955992,8045.49876719253,0.01669965078516545,1.5390920759231737,50.342455665483094,8047.037859268453,1.0098804369779057,50.33221999587158,23.43651393419856,23.437305644667255,47.891565135772794,17.828443148256603,0.0430270315973753,3.6027252307439968,107.87852686315503,12:23:35,5:12:04,19:35:05,863.0282149052402,576.9717850947598,696.402725230744,-5.8993186923140115,24.3990253297848,65.60097467021521,0.007318779374942292,65.60829344959015,166.29861434653185
