Date,Time,Julian_Day,Julian_Century,Geom_Mean_Long_Sun(deg),Geom_Mean_Anom_Sun(deg),Eccent_Earth_Orbit,Sun_Eq_of_Ctr,Sun_True_Long(deg),Sun_True_Anom(deg),Sun_Rad_Vector(AUs),Sun_App_Long(deg),Mean_Obliq_Ecliptic(deg),Obliq_Corr(deg),Sun_Rt_Ascen(deg),Sun_Declin(deg),var_y,Eq_of_Time(min),HA_Sunrise(deg),Solar_Noon(LST),Sunrise_Time(LST),Sunset_Time(LST),Sunlight_Duration(min),Dark_Duration(min),True_Solar_Time(min),Hour_Angle(deg),Solar_Zenith_Angle(deg),Solar_Elevation_Angle(deg),Approx_Atomospheric_Refraction,Solar_Elevation_corr(deg),Solar_Azimuth_Angle(deg_cw_from_N)
2021-01-01,12:00:00,2459216.2916666665,0.21002851927902838,281.6548536747687,7918.3563310799655,0.01669979944214734,-0.05605854050038105,281.5987951342683,7918.300272539465,0.9833083081218683,281.588415905011,23.436559862678035,23.437056389060082,-77.40149743367179,-22.93171307852377,0.04302609038855126,-3.8146389538630308,69.93566666186729,12:31:24,7:51:39,17:11:08,559.4853332949383,880.5146667050617,688.585361046137,-7.853659738465751,64.04976927210204,25.95023072789796,0.03299487803906384,25.983225605937022,171.95472692580267
2021-01-02,12:00:00,2459217.2916666665,0.2100558977868997,282.64050103842055,7919.341931359923,0.016699798289779792,-0.02244666751986093,282.61805437090067,7919.319484692403,0.9833023419124929,282.60767600049525,23.436559506643295,23.43705835388,-76.29968430641686,-22.83949021010449,0.04302609780782261,-4.278403125141961,70.0342704059468,12:31:52,7:51:43,17:12:00,560.2741632475744,879.7258367524256,688.121596874858,-7.969600781285493,63.970570583831616,26.029429416168384,0.032880457379171925,26.062309873547555,171.82478755378304
2021-01-03,12:00:00,2459218.2916666665,0.21008327629477103,283.62614840207243,7920.32753163988,0.016699797137412053,0.011172273445444242,283.63732067551786,7920.338703913326,0.9833014860700234,283.62694316796893,23.436559150608556,23.437060318273815,-75.19941753644417,-22.73969792852119,0.04302610522548565,-4.736112931943541,70.14075126998648,12:32:20,7:51:46,17:12:53,561.1260101598918,878.8739898401082,687.6638870680564,-8.0840282329859,63.88390706988533,26.116092930114668,0.03275597811158153,26.14884890822625,171.69506617366812
2021-01-04,12:00:00,2459219.2916666665,0.21011065480264235,284.6117957657252,7921.313131919836,0.016699795985044126,0.04478768939655737,284.6565834551218,7921.357919609233,0.9833057408734458,284.64620681443336,23.436558794573816,23.437062282239545,-74.1008200960974,-22.632385065641955,0.0430261126415329,-5.187284913682858,70.25500823507947,12:32:47,7:51:45,17:13:48,562.0400658806358,877.9599341193642,687.2127150863171,-8.196821228420731,63.789811589575926,26.210188410424074,0.03262167467763755,26.242810085101713,171.56565197789564
2021-01-05,12:00:00,2459220.2916666665,0.21013803331051367,285.597443129378,7922.298732199793,0.01669979483267601,0.07838898865055363,285.67583211802855,7922.377121188444,0.9833151049315206,285.66545634820386,23.436558438539077,23.437064245775204,-73.00401175496823,-22.51760411274394,0.04302612005595689,-5.631446877784393,70.3769339123851,12:33:13,7:51:42,17:14:43,563.0154712990808,876.9845287009192,686.7685531222156,-8.307861719446095,63.68832020337068,26.31167979662932,0.032477797433108885,26.34415759406243,171.43663334739279
2021-01-06,12:00:00,2459221.2916666665,0.210165411818385,286.5830904930317,7923.28433247975,0.0166997936803077,0.11196558478967199,286.6950560778214,7923.39629806454,0.9833295751833665,286.6846811828629,23.436558082504337,23.437066208878814,-71.90910888714048,-22.395411136769212,0.04302612746875011,-6.068138619251978,70.50641490084081,12:33:40,7:51:38,17:15:41,564.0513192067265,875.9486807932735,686.331861380748,-8.417034654812994,63.579472131152855,26.420527868847145,0.03232461144258851,26.452852480289735,171.3080977813297
2021-01-07,12:00:00,2459222.2916666665,0.2101927903262563,287.5687378566845,7924.269932759705,0.0166997925279392,0.14550690060784163,287.7142447572923,7924.415439660313,0.9833491468997425,287.70387074120174,23.4365577264696,23.437068171548397,-70.81622429016593,-22.26586569192696,0.043026134879905135,-6.496912609922198,70.64333215792531,12:34:05,7:51:30,17:16:39,565.1466572634025,874.8533427365975,685.9030873900778,-8.52422815248056,63.46330970778263,26.536690292217372,0.032162395229553234,26.568852687446924,171.1801318255317
2021-01-08,12:00:00,2459223.2916666665,0.2102201688341276,288.5543852203391,7925.255533039661,0.016699791375570514,0.1790023720521299,288.73338759239124,7925.434535411713,0.983373813685026,288.7230144591696,23.436557370434862,23.43707013378197,-69.72546701616622,-22.12903072700146,0.04302614228941444,-6.917334655875809,70.78756138112756,12:34:31,7:51:21,17:17:40,566.3004910490205,873.6995089509795,685.4826653441241,-8.629333663968964,63.339878336135946,26.660121663864054,0.03199143949268128,26.692113103356736,171.05282099962074
2021-01-09,12:00:00,2459224.2916666665,0.21024754734199894,289.5400325839937,7926.241133319617,0.016699790223201637,0.21244145215579568,289.7524740361495,7926.453574771773,0.98340356747989,289.742101789797,23.436557014400123,23.437072095577545,-68.63694221543537,-21.984972488741985,0.043026149697270526,-7.328984521578142,70.93897339777267,12:34:55,7:51:09,17:18:40,567.5117871821814,872.4882128178186,685.0710154784218,-8.732246130394543,63.209226437805825,26.790773562194175,0.031812045798956114,26.82258560799313,170.92624972300212
2021-01-10,12:00:00,2459225.2916666665,0.21027492584987026,290.5256799476492,7927.226733599571,0.01669978907083257,0.2458136149622447,290.77149356261145,7927.472547214534,0.9834383985646736,290.7611222071276,23.436556658365387,23.437074056933156,-67.5507509927725,-21.83376042171008,0.043026157103465974,-7.731456519465923,71.09743456089014,12:35:19,7:50:55,17:19:42,568.7794764871211,871.2205235128789,684.668543480534,-8.832864129866493,63.07140540164294,26.92859459835706,0.031624525263870315,26.960219123620927,170.8005012398079
